"Year","Location","Sunshine_duration","Altitude","Annual_Precipitation","Annual_temperature","Annual_ice_days","Annual_frost_days","Annual_summer_days","Annual_heat_days","Annual_tropic_days","Annual_precipitation_days"
1938,"ZürichFluntern",1816.16666666667,556,1046.1,8.2,NA,NA,NA,NA,NA,NA
1939,"BaselBinningen",1255.01666666667,316,1204.6,9.1,NA,NA,NA,NA,NA,NA
1939,"BernZollikofen",1391.9,553,1108.9,7.4,NA,NA,NA,NA,NA,NA
1939,"Davos",1457.5,1594,1109.2,2.2,NA,NA,NA,NA,NA,NA
1939,"GenfCointrin",1517.55,411,1103,9.1,NA,NA,NA,NA,NA,NA
1939,"LocarnoMonti",2011.9,367,2634.9,10.8,NA,NA,NA,NA,NA,NA
1939,"Lugano",1839.2,273,2088.4,11.1,NA,NA,NA,NA,NA,NA
1939,"Luzern",1191.4,454,1220.9,8.2,NA,NA,NA,NA,NA,NA
1939,"Neuenburg",1352.7,485,1286.3,8.5,NA,NA,NA,NA,NA,NA
1939,"Säntis",1397.5,2501,2848.1,-2.4,NA,NA,NA,NA,NA,NA
1939,"Samedan",NA,1709,715.7,0.9,NA,NA,NA,NA,NA,NA
1939,"Sitten",NA,482,542.6,8.9,NA,NA,NA,NA,NA,NA
1939,"St.Gallen",NA,776,1640.7,6.9,NA,NA,NA,NA,NA,NA
1939,"ZürichFluntern",1325.25,556,1358.4,7.9,NA,NA,NA,NA,NA,NA
1940,"BaselBinningen",1521.88333333333,316,959.4,8.2,NA,NA,NA,NA,NA,NA
1940,"BernZollikofen",1617.3,553,1145.8,6.8,NA,NA,NA,NA,NA,NA
1940,"Davos",1573,1594,1041.1,1.4,NA,NA,NA,NA,NA,NA
1940,"GenfCointrin",1688.15,411,1003.5,8.7,NA,NA,NA,NA,NA,NA
1940,"LocarnoMonti",2298.8,367,1854.4,10.6,NA,NA,NA,NA,NA,NA
1940,"Lugano",2044.2,273,1377.2,11,NA,NA,NA,NA,NA,NA
1940,"Luzern",1430.7,454,1375.1,7.4,NA,NA,NA,NA,NA,NA
1940,"Neuenburg",1638.9,485,1017.2,8.1,NA,NA,NA,NA,NA,NA
1940,"Säntis",1377.2,2501,3326.9,-3.1,NA,NA,NA,NA,NA,NA
1940,"Samedan",NA,1709,664.6,0.2,NA,NA,NA,NA,NA,NA
1940,"Sitten",NA,482,718.4,8.1,NA,NA,NA,NA,NA,NA
1940,"St.Gallen",NA,776,1790.7,6.1,NA,NA,NA,NA,NA,NA
1940,"ZürichFluntern",1546.85,556,1370.3,7.1,NA,NA,NA,NA,NA,NA
1941,"BaselBinningen",1559.93333333333,316,690.7,8.4,NA,NA,NA,NA,NA,NA
1941,"BernZollikofen",1621.78333333333,553,792.8,6.9,NA,NA,NA,NA,NA,NA
1941,"Davos",1644.3,1594,819.5,1.7,NA,NA,NA,NA,NA,NA
1941,"GenfCointrin",1740.81666666667,411,753.4,8.8,NA,NA,NA,NA,NA,NA
1941,"LocarnoMonti",2242.9,367,2206.9,10.5,NA,NA,NA,NA,NA,NA
1941,"Lugano",2081.9,273,1688.6,11,NA,NA,NA,NA,NA,NA
1941,"Luzern",1484.1,454,1022.1,7.7,NA,NA,NA,NA,NA,NA
1941,"Neuenburg",1594.1,485,759.1,8.3,NA,NA,NA,NA,NA,NA
1941,"Säntis",1505.6,2501,2669.4,-3,NA,NA,NA,NA,NA,NA
1941,"Samedan",NA,1709,505.8,0.4,NA,NA,NA,NA,NA,NA
1941,"Sitten",NA,482,401.2,8.2,NA,NA,NA,NA,NA,NA
1941,"St.Gallen",NA,776,1365.1,6.4,NA,NA,NA,NA,NA,NA
1941,"ZürichFluntern",1588.01666666667,556,1006.3,7.4,NA,NA,NA,NA,NA,NA
1942,"BaselBinningen",1656.9,316,761.7,8.8,NA,NA,NA,NA,NA,NA
1942,"BernZollikofen",1818.5,553,790.5,7.2,NA,NA,NA,NA,NA,NA
1942,"Davos",1773.5,1594,870.2,2.4,NA,NA,NA,NA,NA,NA
1942,"GenfCointrin",1793.56666666667,411,685.1,9.3,NA,NA,NA,NA,NA,NA
1942,"LocarnoMonti",2272.5,367,1817.4,11.4,NA,NA,NA,NA,NA,NA
1942,"Lugano",2079.4,273,1307.9,11.9,NA,NA,NA,NA,NA,NA
1942,"Luzern",1565.9,454,880.8,8.1,NA,NA,NA,NA,NA,NA
1942,"Neuenburg",1720.3,485,825.4,8.7,NA,NA,NA,NA,NA,NA
1942,"Säntis",1727.5,2501,2325.2,-1.9,NA,NA,NA,NA,NA,NA
1942,"Samedan",NA,1709,524.1,1.7,NA,NA,NA,NA,NA,NA
1942,"Sitten",NA,482,447,9,NA,NA,NA,NA,NA,NA
1942,"St.Gallen",NA,776,1249.5,6.9,NA,NA,NA,NA,NA,NA
1942,"ZürichFluntern",1723.8,556,926.3,7.9,NA,NA,NA,NA,NA,NA
1943,"BaselBinningen",1767.9,316,572,10.2,NA,NA,NA,NA,NA,NA
1943,"BernZollikofen",1919.7,553,790.9,8.5,NA,NA,NA,NA,NA,NA
